labels[0][:40]: tensor([-100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100,
        -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100,
        -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100,
        -100, -100, 3006, 5285])
unique labels: tensor([ -100,     0,   102,  1005,  1006,  1007,  1010,  1011,  1012,  1013,
         1015,  1016,  1017,  1018,  1019,  1020,  1024,  1027,  1037,  1041,
         1055,  1060,  1996,  1997,  1998,  1999,  2000,  2003,  2004,  2005,
         2006,  2007,  2008,  2011,  2012,  2013,  2015,  2021,  2022,  2023,
         2024,  2025,  2028,  2029,  2030,  2037,  2038,  2041,  2047,  2049,
         2050,  2052,  2058,  2059,  2060,  2064,  2065,  2071,  2087,  2088,
         2103,  2104,  2105,  2107,  2110,  2115,  2116,  2122,  2125,  2132,
         2135,  2148,  2149,  2154,  2156,  2164,  2177,  2178,  2181,  2182,
         2202,  2217,  2224,  2241,  2260,  2290,  2303,  2314,  2329,  2334,
         2358,  2366,  2396,  2414,  2468,  2474,  2478,  2536,  2561,  2576,
         2581,  2592,  2658,  2661,  2675,  2688,  2691,  2693,  2742,  2765,
         2769,  2778,  2814,  2824,  2828,  2833,  2851,  2854,  2855,  2880,
         2892,  2918,  2922,  2924,  2943,  2951,  2980,  2989,  3006,  3022,
         3042,  3074,  3091,  3096,  3132,  3147,  3171,  3239,  3290,  3292,
         3297,  3303,  3309,  3316,  3325,  3343,  3378,  3418,  3426,  3431,
         3433,  3457,  3528,  3540,  3561,  3571,  3572,  3578,  3587,  3748,
         3795,  3827,  3831,  3864,  3891,  3904,  3930,  3942,  3944,  3981,
         4022,  4107,  4118,  4141,  4157,  4186,  4254,  4295,  4311,  4410,
         4426,  4500,  4536,  4578,  4596,  4638,  4642,  4660,  4693,  4697,
         4725,  4786,  4800,  5016,  5027,  5039,  5103,  5217,  5220,  5278,
         5285,  5302,  5320,  5328,  5454,  5468,  5533,  5573,  5646,  5675,
         5677,  5729,  5761,  5876,  5959,  6073,  6089,  6090,  6107,  6205,
         6525,  6565,  6569,  6581,  6699,  6709,  6763,  6823,  6832,  6892,
         7180,  7239,  7338,  7355,  7356,  7368,  7409,  7446,  7474,  7709,
         7712,  7786,  7841,  7865,  7884,  8013,  8030,  8411,  8462,  8740,
         9016,  9331,  9387,  9546,  9597,  9661,  9662,  9686,  9837,  9941,
        10327, 10377, 10434, 10450, 10471, 10518, 10611, 10831, 10979, 11076,
        11103, 11129, 11301, 11319, 11350, 11443, 11590, 11840, 12257, 12336,
        12363, 12606, 12654, 12731, 12811, 12859, 12984, 13012, 13136, 13950,
        14171, 14200, 14230, 14316, 15245, 15565, 15792, 16149, 16189, 16268,
        16464, 16868, 17042, 17133, 17208, 17707, 17836, 18119, 18155, 18422,
        18583, 18605, 18730, 18755, 19132, 19340, 19449, 19581, 19857, 20228,
        20248, 20390, 20606, 21198, 21387, 22040, 22086, 22468, 22914, 23202,
        23271, 23446, 24163, 24442, 24471, 24757, 24894, 25186, 26116, 26257,
        26835, 27244, 27263, 27441, 27631, 28832, 29598])
ignore_index in CE: -100
PCA source acts shape: torch.Size([204800, 2048])
step=0000 | loss=10.684240 | lr=6.67e-07 | grad_norm=29.61 | mem_alloc=4103.3MB mem_peak=6088.6MB mem_reserved=6775.9MB
step=0001 | loss=10.576900 | lr=1.33e-06 | grad_norm=46.63 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8587.8MB
step=0002 | loss=10.381333 | lr=2.00e-06 | grad_norm=16.18 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0003 | loss=10.134828 | lr=2.67e-06 | grad_norm=21.06 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0004 | loss=9.496020 | lr=3.33e-06 | grad_norm=30.16 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0005 | loss=9.116899 | lr=4.00e-06 | grad_norm=26.33 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0006 | loss=9.421436 | lr=4.67e-06 | grad_norm=13.62 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0007 | loss=8.712787 | lr=5.33e-06 | grad_norm=16.30 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0008 | loss=7.615933 | lr=6.00e-06 | grad_norm=18.92 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0009 | loss=5.512544 | lr=6.67e-06 | grad_norm=23.58 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0010 | loss=9.222979 | lr=7.33e-06 | grad_norm=5.63 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0011 | loss=5.343464 | lr=8.00e-06 | grad_norm=11.88 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0012 | loss=6.085580 | lr=8.67e-06 | grad_norm=7.02 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0013 | loss=5.239657 | lr=9.33e-06 | grad_norm=5.54 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0014 | loss=7.175364 | lr=1.00e-05 | grad_norm=3.68 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0015 | loss=7.056510 | lr=1.07e-05 | grad_norm=3.33 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0016 | loss=3.870394 | lr=1.13e-05 | grad_norm=3.36 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0017 | loss=4.170636 | lr=1.20e-05 | grad_norm=3.02 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0018 | loss=5.015363 | lr=1.27e-05 | grad_norm=2.69 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0019 | loss=5.801136 | lr=1.33e-05 | grad_norm=2.55 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0020 | loss=5.393572 | lr=1.40e-05 | grad_norm=2.50 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0021 | loss=5.243579 | lr=1.47e-05 | grad_norm=2.33 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0022 | loss=4.092789 | lr=1.53e-05 | grad_norm=2.32 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0023 | loss=5.673719 | lr=1.60e-05 | grad_norm=2.30 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0024 | loss=5.189440 | lr=1.67e-05 | grad_norm=2.11 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0025 | loss=5.088147 | lr=1.73e-05 | grad_norm=2.01 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0026 | loss=5.279939 | lr=1.80e-05 | grad_norm=1.94 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0027 | loss=5.168976 | lr=1.87e-05 | grad_norm=1.85 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0028 | loss=4.346320 | lr=1.93e-05 | grad_norm=1.88 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0029 | loss=5.933337 | lr=2.00e-05 | grad_norm=2.00 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0030 | loss=5.410787 | lr=2.07e-05 | grad_norm=1.72 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0031 | loss=4.164057 | lr=2.13e-05 | grad_norm=1.67 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0032 | loss=2.137670 | lr=2.20e-05 | grad_norm=1.73 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0033 | loss=6.657397 | lr=2.27e-05 | grad_norm=1.98 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0034 | loss=3.594685 | lr=2.33e-05 | grad_norm=1.53 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0035 | loss=6.566413 | lr=2.40e-05 | grad_norm=1.98 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0036 | loss=3.940880 | lr=2.47e-05 | grad_norm=1.64 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0037 | loss=3.292660 | lr=2.53e-05 | grad_norm=1.56 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0038 | loss=4.065661 | lr=2.60e-05 | grad_norm=1.63 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0039 | loss=4.219084 | lr=2.67e-05 | grad_norm=1.50 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0040 | loss=4.171392 | lr=2.73e-05 | grad_norm=1.48 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0041 | loss=6.555583 | lr=2.80e-05 | grad_norm=1.62 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0042 | loss=5.888644 | lr=2.87e-05 | grad_norm=1.74 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0043 | loss=3.440692 | lr=2.93e-05 | grad_norm=1.48 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0044 | loss=3.241350 | lr=3.00e-05 | grad_norm=1.43 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0045 | loss=4.328621 | lr=3.07e-05 | grad_norm=1.38 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0046 | loss=4.002765 | lr=3.13e-05 | grad_norm=1.41 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0047 | loss=2.946168 | lr=3.20e-05 | grad_norm=1.42 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0048 | loss=5.676322 | lr=3.27e-05 | grad_norm=1.63 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0049 | loss=2.423315 | lr=3.33e-05 | grad_norm=1.27 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0050 | loss=5.015812 | lr=3.40e-05 | grad_norm=1.43 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0051 | loss=5.041408 | lr=3.47e-05 | grad_norm=1.46 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0052 | loss=5.389919 | lr=3.53e-05 | grad_norm=1.46 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0053 | loss=4.089935 | lr=3.60e-05 | grad_norm=1.48 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0054 | loss=5.833900 | lr=3.67e-05 | grad_norm=1.57 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0055 | loss=3.886996 | lr=3.73e-05 | grad_norm=1.30 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0056 | loss=3.258207 | lr=3.80e-05 | grad_norm=1.23 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0057 | loss=3.940760 | lr=3.87e-05 | grad_norm=1.28 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0058 | loss=2.452901 | lr=3.93e-05 | grad_norm=1.15 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0059 | loss=5.492606 | lr=4.00e-05 | grad_norm=1.47 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0060 | loss=4.301629 | lr=4.07e-05 | grad_norm=1.19 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0061 | loss=2.292122 | lr=4.13e-05 | grad_norm=1.11 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0062 | loss=3.721401 | lr=4.20e-05 | grad_norm=1.11 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0063 | loss=4.397131 | lr=4.27e-05 | grad_norm=1.42 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
step=0064 | loss=4.768353 | lr=4.33e-05 | grad_norm=1.75 | mem_alloc=4103.3MB mem_peak=8286.7MB mem_reserved=8839.5MB
